"tstep.marked","age.marked","tstep.last","age.dead","Tit.sum","Sit.sum","Kit.sum","Lit.sum","Dit.sum","Wit.sum","Rit.sum","Vit.sum","Pit.sum","Xit.sum","Tit.last","fate","fate2","reporting"
3,1,3,1,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1,8,1.42,5,5,0,1,1,0,0,1,1,0,0,2,"dmort","cap_rep"
3,1,12,1.75,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1,3,1,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1,12,1.75,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1,12,1.75,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1,3,1,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1,12,1.75,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1,12,1.75,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.08,5,1.25,2,2,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.08,12,1.83,9,9,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.08,12,1.83,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.08,3,1.08,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.17,12,1.92,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.17,9,1.67,6,6,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.17,7,1.5,4,4,0,1,1,0,0,1,1,0,0,2,"dmort","cap_rep"
3,1.17,6,1.42,3,3,0,1,1,0,0,1,1,0,0,2,"dmort","cap_rep"
3,1.17,12,1.92,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.17,11,1.83,8,8,1,0,0,0,0,1,1,0,0,4,"natmort","not_recap"
3,1.17,12,1.92,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.17,12,1.92,10,10,1,0,0,0,0,1,1,0,1,1,"surv.resighted","cap_rep"
3,1.17,11,1.83,8,8,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.17,12,1.92,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.17,12,1.92,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.17,3,1.17,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.17,3,1.17,0,0,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.17,12,1.92,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.17,12,1.92,10,10,1,0,0,0,0,1,1,0,1,1,"surv.resighted","cap_rep"
3,1.17,3,1.17,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.17,10,1.75,7,7,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
3,1.17,12,1.92,10,10,1,0,0,0,0,1,1,0,1,0,"surv.resighted","not_recap"
3,1.17,3,1.17,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.17,12,1.92,10,10,0,0,0,0,0,0,1,0,1,0,"surv.notresighted","not_recap"
3,1.17,5,1.33,2,2,0,1,1,0,0,1,1,0,0,2,"dmort","cap_rep"
3,1.17,3,1.17,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.17,12,1.92,10,10,1,0,0,0,0,0,1,0,1,0,"surv.resighted","not_recap"
3,1.17,3,1.17,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.25,3,1.25,0,0,0,0,0,0,0,0,1,1,0,5,"handmort","not_recap"
3,1.25,12,2,9,9,0,0,0,0,0,0,1,0,0,4,"natmort","not_recap"
