"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3640674.64375044,2494896.23650523,322592,0.129253367294227,0.0645180510234625,61247,0.5,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3477550.09924483,2399369.62728505,106450,0.0443194499071432,0.0221224761126094,44701,0.5,NA,0,NA,0,2e-04,2e-04,750,544,10,5,24,5,14,188,750,1,544
4,3455520.42027558,2390470.47651573,149826,0.0626314263710158,0.0312630738128393,86829,0.5,NA,0,NA,0,3e-04,5e-04,1500,1097,27,12,54,15,47,151,750,5,1097
5,3456686.00321976,2374072.06312076,208032,0.0875700411128721,0.0437114212102957,119947,0.5,NA,0,NA,0,3e-04,4e-04,1500,1043,31,13,75,18,53,0,0,6,1043
6,3367163.71899677,2320894.37577901,257530,0.110908941206503,0.0553612557840029,138537,0.5,NA,0,NA,0,3e-04,4e-04,1500,973,51,30,85,21,71,0,0,9,973
7,3226436.82046583,2240566.42501878,387927,0.173083137986633,0.0863960990857792,226157,0.5,NA,0,NA,0,3e-04,4e-04,1500,898,62,46,102,16,94,0,0,11,898
8,3010075.06538918,2105873.87911943,151886,0.0720709170542172,0.035974885615374,99605,0.5,NA,0,NA,0,3e-04,4e-04,1500,862,23,11,57,12,38,0,0,3,862
9,2893144.31738936,2052709.95616873,78905,0.0383839669878841,0.019159723204502,66288,0.5,NA,0,NA,0,3e-04,4e-04,1500,831,16,9,23,7,22,0,0,0,831
10,2808332.24203093,2023335.16600038,38756,0.019084869960835,0.00952639486061806,38846,0.5,NA,0,NA,0,3e-04,4e-04,1500,798,10,7,12,3,10,0,0,1,798
11,2744928.4661694,2006782.97714778,40498,0.0201171945934056,0.0100416895466385,43409,0.5,NA,0,NA,0,3e-04,4e-04,1500,781,6,2,13,4,8,0,0,0,781
12,2682420.73423974,1986895.58678613,127376,0.0640543179895995,0.0319733237349142,63366,0.5,NA,0,NA,0,3e-04,4e-04,1500,751,20,11,43,9,32,0,0,3,751
