"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8466277,0.0275215,0.7846497,0.8931964,"     ",""
"S g12 c1 a16 t5",0.9130606,0.0191042,0.8675983,0.9439217,"     ",""
"S g12 c1 a20 t9",0.6423993,0.0570113,0.5248222,0.745018,"     ",""
"S g14 c1 a25 t12",0.7852067,0.0293648,0.7221229,0.837198,"     ",""
"S g18 c1 a25 t8",0.9553007,0.0105088,0.9295445,0.9719257,"     ",""
"S g22 c1 a25 t4",0.918255,0.0127456,0.8895413,0.9400081,"     ",""
"S g62 c1 a73 t12",0.7092755,0.1435986,0.3838922,0.9052351,"     ",""
"S g66 c1 a73 t8",0.9344819,0.0449874,0.7716222,0.9836628,"     ",""
"S g70 c1 a73 t4",0.8823078,0.0736506,0.651198,0.9678488,"     ",""
"r g18 c1 a25 t8",0.4849074,0.1128343,0.279727,0.695305,"     ",""
"r g66 c1 a73 t8",0.167087,0.1202724,0.0355615,0.5218495,"     ",""
"R g12 c1 a12 t1",0.0335818,0.0048397,0.0252859,0.0444753,"     ",""
"R g12 c1 a16 t5",0.0479603,0.0063898,0.0368796,0.0621553,"     ",""
"R g12 c1 a20 t9",0.0224767,0.0041822,0.0155869,0.0323122,"     ",""
"R g14 c1 a25 t12",0.031138,0.0041423,0.0239671,0.0403656,"     ",""
"R g18 c1 a25 t8",0.0657806,0.0037873,0.0587356,0.0736046,"     ",""
"R g22 c1 a25 t4",0.0463196,0.0040317,0.0390285,0.0548949,"     ",""
"R g62 c1 a73 t12",0.0201055,0.0073416,0.0097873,0.0408528,"     ",""
"R g66 c1 a73 t8",0.0430189,0.0142531,0.0222976,0.0813934,"     ",""
"R g70 c1 a73 t4",0.0300751,0.0102206,0.0153638,0.0580424,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
