"","estimate","se","lcl","ucl","fixed","note"
"S g12 c1 a12 t1",0.8060664,0.0354239,0.7272077,0.8663193,"     ",""
"S g12 c1 a16 t5",0.8940665,0.0303855,0.8181939,0.9405751,"     ",""
"S g12 c1 a20 t9",0.7460165,0.0524373,0.6306603,0.8347823,"     ",""
"S g14 c1 a25 t12",0.8238747,0.0271902,0.7641472,0.8710296,"     ",""
"S g18 c1 a25 t8",0.9307529,0.0192497,0.8821474,0.9602162,"     ",""
"S g22 c1 a25 t4",0.8687549,0.0177853,0.8298077,0.8998649,"     ",""
"S g62 c1 a73 t12",0.540187,0.1248522,0.3048918,0.7588347,"     ",""
"S g66 c1 a73 t8",0.771462,0.0980555,0.5315863,0.9094268,"     ",""
"S g70 c1 a73 t4",0.6244002,0.1109133,0.3968346,0.8077112,"     ",""
"r g18 c1 a25 t8",0.0101812,0.0028625,0.00586,0.0176322,"     ",""
"r g66 c1 a73 t8",0.0012109,0.0012524,0.0001592596,0.0091435,"     ",""
"R g12 c1 a12 t1",0.0015972,0.0002757021,0.0011386,0.00224,"     ",""
"R g12 c1 a16 t5",0.0018798,0.0003043682,0.0013685,0.0025816,"     ",""
"R g12 c1 a20 t9",0.0008917172,0.000175938,0.0006056955,0.0013126,"     ",""
"R g14 c1 a25 t12",0.0013989,0.0001774055,0.0010909,0.0017935,"     ",""
"R g18 c1 a25 t8",0.0029472,0.0002268026,0.0025345,0.0034269,"     ",""
"R g22 c1 a25 t4",0.0025045,0.0002549542,0.0020514,0.0030574,"     ",""
"R g62 c1 a73 t12",0.0015047,0.0006764013,0.000623184,0.0036287,"     ",""
"R g66 c1 a73 t8",0.0031699,0.0013662,0.0013608,0.0073664,"     ",""
"R g70 c1 a73 t4",0.0026938,0.0011576,0.0011595,0.0062459,"     ",""
"p g12 c1 a13 t2",0,0,0,0,"Fixed",""
"r g12 c1 a12 t1",1e-04,0,1e-04,1e-04,"Fixed",""
"F g12 c1 a12 t1",1,0,1,1,"Fixed",""
