"tstep","Nt","NtVul","Ct","Ut","Ft","E","Edot","recaps.efp","recaps.tot","P.recap.efp","P.recap.tot","PTit","PTitVul","cummarks","Sit.sum","Lit.sum","Wit.sum","Kit.sum","Dit.sum","Vit.sum","Xit.sum","Pit.sum","Rit.sum","Tit.sum"
1,3825314.19496996,2578486.6115614,275790,0.106913685930997,0.0533669860089642,65137,1954,0,0,0,0,0.0016,0.0024,8270,6062,261,115,491,146,37,1849,8270,30,6062
2,3640066.9404364,2494751.63707678,322574,0.129253367294227,0.0645180510234625,61247,1837,NA,0,NA,0,0.0035,0.0051,17942,12602,642,326,1194,316,52,2279,9672,69,12602
3,3459543.26640458,2395066.37425289,106259,0.0443194499071432,0.0221224761126094,44701,1341,NA,0,NA,0,0.0042,0.0061,21127,14537,259,132,497,127,19,745,3185,17,14537
4,3383026.9224784,2372645.9785705,148709,0.0626314263710158,0.0312630738128393,86829,2605,NA,0,NA,0,0.0051,0.0073,25586,17207,439,214,840,225,40,1082,4459,33,17207
5,3353904.7281738,2346823.3327424,205647,0.0875700411128721,0.0437114212102957,119947,3598,NA,0,NA,0,0.0062,0.0088,31751,20767,810,425,1359,385,64,1448,6165,94,20767
6,3281242.9645513,2294603.12066713,254614,0.110908941206503,0.0553612557840029,138537,4156,NA,0,NA,0,0.0076,0.0109,39386,25076,1184,623,2151,561,113,1776,7635,136,25076
7,3175041.88974522,2220104.26221213,384386,0.173083137986633,0.0863960990857792,226157,6785,NA,0,NA,0,0.0098,0.014,50915,31176,2263,1462,3151,801,177,2687,11529,271,31176
8,2948958.05945757,2081981.9626626,150165,0.0720709170542172,0.035974885615374,99605,2988,NA,0,NA,0,0.0112,0.0159,55417,33052,1047,569,1972,478,83,1067,4502,85,33052
9,2832005.20283103,2027275.75390619,77928,0.0383839669878841,0.019159723204502,66288,1989,NA,0,NA,0,0.0119,0.0167,57752,33777,590,296,1098,294,54,523,2335,44,33777
10,2748796.01285482,1996720.64878183,38247,0.019084869960835,0.00952639486061806,38846,1165,NA,0,NA,0,0.0123,0.017,58895,33855,297,156,539,141,25,264,1143,20,33855
11,2686905.55121517,1979007.92540306,39939,0.0201171945934056,0.0100416895466385,43409,1302,NA,0,NA,0,0.0127,0.0172,60090,34001,305,153,585,152,20,283,1195,13,34001
12,2625923.53151102,1958058.99306308,125527,0.0640543179895995,0.0319733237349142,63366,1901,NA,0,NA,0,0.0135,0.0181,63853,35359,962,481,1797,481,87,913,3763,81,35359
